time_s,task_id,ue_id,latency_ms,offloaded
87.7101,39,17,612.281,0
87.7692,42,8,655.71,0
87.954,49,11,668.578,0
87.9659,37,12,677.79,0
87.9664,50,21,630.674,0
88.0728,50,22,619.783,0
88.178,50,19,636.53,0
88.2138,46,9,708.837,0
88.2213,50,11,621.149,0
88.3186,51,16,685.723,0
88.3852,53,7,719.582,0
88.3898,51,13,618.742,0
88.4178,51,11,625.48,0
88.6218,51,19,684.878,0
88.7482,26,23,689.635,0
88.7683,52,16,683.813,0
88.8199,52,11,604.157,0
89.0641,40,17,688.263,0
89.0784,52,19,635.343,0
89.1994,41,17,701.527,0
89.2909,44,20,607.025,0
89.3339,53,11,620.544,0
89.3909,45,20,638.558,0
89.4841,46,6,651.705,0
89.4862,43,8,637.21,0
89.5153,51,21,697.184,0
89.6003,47,6,604.683,0
89.8676,44,8,715.876,0
90.1541,38,12,690.296,0
90.2963,53,19,683.881,0
