t,ue,rate_bps
2.1,4,3.79011e+07
2.1,5,4.88329e+07
2.1,6,776247
2.1,7,2.70991e+06
2.1,8,1.09759e+08
2.1,9,253473
2.1,10,1.54585e+07
2.1,11,9.0566e+07
2.1,12,3.01677e+07
2.1,13,1.84942e+07
2.1,14,5.42492e+06
2.1,15,1.18589e+07
2.1,16,3.43092e+07
2.1,17,74259.4
2.1,18,1.17265e+07
2.1,19,1.21503e+06
2.1,20,145893
2.1,21,6.72151e+07
2.1,22,3332.31
2.1,23,1.31809e+07
2.1,24,7.73866e+07
2.1,25,1.84265e+07
2.1,26,1.09698e+06
2.1,27,6.75262e+06
2.1,28,1.22578e+07
2.1,29,2.38386e+07
2.2,0,691908
2.2,1,6.61273e+06
2.2,2,1.79339e+07
2.2,3,1.70396e+07
2.2,4,7.47367e+06
2.2,5,4.2209e+07
2.2,6,233763
2.2,7,4.44258e+07
2.2,8,2.08904e+08
2.2,9,7547.99
2.2,10,1.58288e+06
2.2,11,2.547e+07
2.2,12,5.40846e+07
2.2,13,1.49441e+07
2.2,14,1.45e+07
2.2,15,2.09564e+06
2.2,16,5.79244e+07
2.2,17,460383
2.2,18,2.55452e+06
2.2,19,1.12483e+08
2.2,20,632650
2.2,21,5.03058e+07
2.2,22,1.14268e+08
2.2,23,5.2082e+06
2.2,24,3.65553e+07
2.2,25,3.87546e+06
2.2,26,2.54373e+06
2.2,27,2.3979e+07
2.2,28,2.48635e+07
2.2,29,4.27032e+06
2.3,0,29320.1
2.3,1,2.03558e+06
2.3,2,4.81299e+06
2.3,3,1.09272e+08
2.3,4,5.6138e+06
2.3,5,1.17908e+07
2.3,6,5.56158e+06
2.3,7,997938
2.3,8,1.51284e+08
2.3,9,552600
2.3,10,9.10279e+06
2.3,11,291033
2.3,12,2.6629e+06
2.3,13,1.45223e+06
2.3,14,280829
2.3,15,2.61908e+07
2.3,16,8.34525e+07
2.3,17,1.49092e+06
2.3,18,5.14552e+06
2.3,19,347856
2.3,20,3.99079e+06
2.3,21,4.53932e+07
2.3,22,2.1714e+07
2.3,23,1.64777e+08
2.3,24,6.76909e+07
2.3,25,8.82524e+06
2.3,26,1.55109e+07
2.3,27,96941.5
2.3,28,3.15663e+07
2.3,29,1.5439e+06
2.4,0,2.1047e+07
2.4,1,1.18403e+07
2.4,2,36151.6
2.4,3,3.39362e+07
2.4,4,700545
2.4,5,2.90726e+07
2.4,6,2.51355e+07
2.4,7,1.1179e+08
2.4,8,1.59276e+08
2.4,9,1708.91
2.4,10,5.60867e+07
2.4,11,1.51775e+07
2.4,12,2.48256e+07
2.4,13,3.69642e+06
2.4,14,9.50791e+06
2.4,15,3.12964e+07
2.4,16,6.96108e+07
2.4,17,8.44002e+06
2.4,18,5.16019e+07
2.4,19,6.43141e+06
2.4,20,266876
2.4,21,9850.28
2.4,22,304893
2.4,23,9.06031e+07
2.4,24,1.19936e+08
2.4,25,8.58998e+07
2.4,26,2.0882e+07
2.4,27,1.01318e+07
2.4,28,9.98938e+07
2.4,29,27448.4
2.5,0,1.28199e+07
2.5,1,865180
2.5,2,2.82226e+07
2.5,3,3.52778e+07
2.5,4,5.79499e+07
2.5,5,5.85526e+07
2.5,6,3.24958e+07
2.5,7,9.18028e+07
2.5,8,1.9223e+08
2.5,9,6.93177e+07
2.5,10,2.17378e+06
2.5,11,288998
2.5,12,1.41109e+06
2.5,13,3.41118e+06
2.5,14,3.25508e+06
2.5,15,2.7311e+07
2.5,16,7.53135e+07
2.5,17,953748
2.5,18,7.86938e+07
2.5,19,3.14795e+06
2.5,20,1.77557e+07
2.5,21,2.40724e+07
2.5,22,6.01271e+06
2.5,23,1.17721e+08
2.5,24,4.08134e+07
2.5,25,5.35655e+07
2.5,26,35765.5
2.5,27,861268
2.5,28,2.18348e+07
2.5,29,6.98186e+06
2.6,0,9.3186e+06
2.6,1,2.41649e+06
2.6,2,1.72885e+06
2.6,3,2.57229e+07
2.6,4,9.21655e+06
2.6,5,1.0393e+07
2.6,6,456181
2.6,7,1.35842e+07
2.6,8,1.03857e+08
2.6,9,210275
2.6,10,423025
2.6,11,3.14345e+07
2.6,12,3.08827e+06
2.6,13,4.95231e+07
2.6,14,1.9883e+07
2.6,15,2.073e+06
2.6,16,2.26121e+07
2.6,17,4.85071e+07
2.6,18,5.00413e+07
2.6,19,8.0022e+06
2.6,20,1.04062e+06
2.6,21,7.96405e+06
2.6,22,8.8985e+06
2.6,23,2.10022e+08
2.6,24,9.24383e+07
2.6,25,4.97989e+06
2.6,26,161778
2.6,27,1.12028e+06
2.6,28,5.2206e+06
2.6,29,2.09334e+07
2.7,0,79632.4
2.7,1,3.97853e+07
2.7,2,4.57942e+06
2.7,3,5.39471e+06
2.7,4,5.91715e+07
2.7,5,3.44463e+07
2.7,6,1.02908e+07
2.7,7,6.85337e+07
2.7,8,1.55886e+08
2.7,9,2644.2
2.7,10,702652
2.7,11,9.81026e+06
2.7,12,1.44307e+07
2.7,13,4.55983e+07
2.7,14,1.52998e+06
2.7,15,31775
2.7,16,1.71959e+08
2.7,17,5.55389e+06
2.7,18,3.02931e+06
2.7,19,2.19183e+07
2.7,20,311783
2.7,21,455480
2.7,22,5.26452e+06
2.7,23,2.73586e+07
2.7,24,1.22931e+08
2.7,25,2.42272e+06
2.7,26,9.74003e+06
2.7,27,509706
2.7,28,9.17861e+07
2.7,29,374316
2.8,0,764651
2.8,1,3.37863e+06
2.8,2,1.95318e+07
2.8,3,5.76378e+06
2.8,4,1.73756e+07
2.8,5,9.09215e+06
2.8,6,1.13202e+07
2.8,7,2.14534e+06
2.8,8,1.38996e+08
2.8,9,7.8415e+06
2.8,10,175466
2.8,11,1.76383e+06
2.8,12,6.9345e+07
2.8,13,3.88973e+06
2.8,14,2.43938e+07
2.8,15,4.23037e+07
2.8,16,3.54083e+07
2.8,17,5.38964e+06
2.8,18,2.89512e+06
2.8,19,4.24896e+07
2.8,20,1.49481e+06
2.8,21,9.51281e+06
2.8,22,5.51827e+06
2.8,23,5.18327e+07
2.8,24,9.19475e+07
2.8,25,6.98905e+06
2.8,26,1.04349e+07
2.8,27,6.91818e+06
2.8,28,2.99715e+06
2.8,29,5.02741e+07
2.9,0,8.34682e+06
2.9,1,2.67331e+07
2.9,2,1.37475e+06
2.9,3,7.61894e+06
2.9,4,115502
2.9,5,8.83533e+07
2.9,6,27338.3
2.9,7,4.43698e+07
2.9,8,1.3804e+08
2.9,9,442100
2.9,10,1.87856e+06
2.9,11,2.46045e+07
2.9,12,7.266e+07
2.9,13,1.31742e+07
2.9,14,503765
2.9,15,2.61949e+07
2.9,16,1.09716e+08
2.9,17,3.3095e+06
2.9,18,8.49849e+07
2.9,19,3.56718e+06
2.9,20,5.06523e+06
2.9,21,2.78259e+06
2.9,22,6.27491e+06
2.9,23,6.17199e+07
2.9,24,1.4425e+08
2.9,25,1.44797e+07
2.9,26,2.99131e+07
2.9,27,6.46247e+06
2.9,28,269812
2.9,29,3.24051e+07
3,0,8.49303e+06
3,1,514768
3,2,1.49359e+07
3,3,572024
3,4,7.39427e+07
3,5,1.27466e+07
3,6,115102
3,7,1.08394e+06
3,8,1.63809e+08
3,9,1.00416e+06
3,10,833466
3,11,9.32949e+06
3,12,3.34712e+06
3,13,8.14704e+06
3,14,3.40198e+07
3,15,8.57687e+06
3,16,1.69786e+08
3,17,4.16192e+06
3,18,2.22107e+07
3,19,8.65791e+07
3,20,2.45406e+07
3,21,1.13101e+07
3,22,2.50268e+07
3,23,8.35959e+07
3,24,5.2029e+06
3,25,5.23411e+07
3,26,4.8995e+07
3,27,1.08478e+07
3,28,1.20779e+08
3,29,8.60111e+07
3.1,0,308544
3.1,1,208470
3.1,2,1.63771e+07
3.1,3,1.04514e+07
3.1,4,5.69588e+06
3.1,5,2.43347e+07
3.1,6,2.98962e+06
3.1,7,4.47437e+06
3.1,8,1.05183e+08
3.1,9,1.81565e+07
3.1,10,94852.5
3.1,11,1.35535e+06
3.1,12,5.47113e+06
3.1,13,4.17846e+07
3.1,14,1.00181e+06
3.1,15,2.40965e+06
3.1,16,1.32095e+08
3.1,17,87742.7
